bundle_id,bundle_name,n_items,final_price,component_price_sum,implied_discount_rate,panel_coverage,users_own_all,candidate_ownership_count,mincost_attributed_count,candidate_users_with_overlap,attribution_rate_given_candidate,contested_candidate_share,attributed_revenue_proxy,soft_mincost_attributed_tau_0_5,soft_mincost_attributed_tau_1,soft_mincost_attributed_tau_2
450,Dharker Studio 2015 Complete,14,66.46,73.86,0.1001895477931222,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1473,"Naruto Shippuden Uncut Season 4, Vol. 3",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1474,"Naruto Shippuden Uncut Season 4, Vol. 4",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1437,Pixel Puzzles Ultimate: Starter Kit,10,15.17,25.35,0.401577909270217,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1466,"Naruto Shippuden Uncut Season 4, Vol. 1",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1478,Cosmi Fun Pack,9,25.2,71.91,0.6495619524405506,1.0,1,1.0,1.0,0.0,1.0,0.0,25.2,1.0,1.0,0.9999999999280464
1482,Two Tribes Complete Pack!,4,29.66,32.96,0.100121359223301,1.0,229,229.0,229.0,0.0,1.0,0.0,6792.14,228.6888989313518,220.85419765656633,192.10605054696197
1396,"Expendables 1, 2, & 3",3,25.17,41.97,0.4002859185132236,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1400,El Ninja - Deluxe Edition,2,1.48,1.98,0.2525252525252525,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1471,18 Wheels of Steel Top Payload Pack 2,3,18.4,27.47,0.3301783764106298,0.6666666666666666,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1472,"Naruto Shippuden Uncut Season 4, Vol. 2",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1477,Halcyon 6: Starbase Commander + Soundtrack,2,24.28,26.98,0.1000741289844327,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1284,Black Sand Drift Collector's Edition,2,2.15,2.53,0.150197628458498,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1468,The Codemasters Complete Collection,56,575.84,654.44,0.1201026832100727,0.4464285714285714,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1225,Starters + Founders Package,2,75.18,79.97999999999999,0.0600150037509375,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1455,ULTAKAAR CHRONICLES,5,4.51,9.07,0.5027563395810364,0.6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1419,"Naruto Shippuden Uncut Season 3, Vol. 1",14,20.02,27.86,0.2814070351758794,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1421,"Naruto Shippuden Uncut Season 3, Vol. 3",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1433,"Naruto Shippuden Uncut Season 3, Vol. 4",13,20.15,25.87,0.221105527638191,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1420,"Naruto Shippuden Uncut Season 3, Vol. 2",14,20.02,27.86,0.2814070351758794,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1011,Publisher Diamond Edition Pack,12,1.55,15.38,0.8992197659297789,0.1666666666666666,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
419,Dinosaur Hunt Gold Edition Pack,11,0.84,10.39,0.9191530317613088,0.0909090909090909,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1460,The Meridian Bundle,4,21.66,30.96,0.3003875968992248,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
317,Endorlight - Deluxe Edition,2,2.38,3.98,0.4020100502512563,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1379,Revolution 60: Special Edition Bundle,2,12.73,14.98,0.1502002670226969,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1385,Happy Neighbours Set,2,17.48,24.98,0.300240192153723,1.0,2,2.0,2.0,0.0,1.0,0.0,34.96,1.999999388195546,1.9988944427261528,1.9540452601799487
1137,New Retro Arcade: Neon and Original Soundtrack,2,26.98,29.98,0.1000667111407603,0.5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
279,Microblast Games Bundle,6,3.44,6.94,0.5043227665706052,0.6666666666666666,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1440,OtakuMaker Studio Pack - Latest Bundle #3,4,11.96,14.96,0.2005347593582887,0.75,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
