bundle_id,item_id,item_name,item_price,genre,item_url
450,326950,Sword of Asumi,8.99,"Adventure, Indie, RPG",http://store.steampowered.com/app/326950
450,331490,Sword of Asumi - Soundtrack,2.99,"Adventure, Indie, RPG",http://store.steampowered.com/app/331490
450,331491,Sword of Asumi - Graphic Novel,1.99,"Adventure, Indie, RPG",http://store.steampowered.com/app/331491
450,331492,Sword of Asumi - Character Creator,0.99,"Adventure, Indie, RPG",http://store.steampowered.com/app/331492
450,348540,Divine Slice of Life,12.99,"Adventure, Casual, Indie",http://store.steampowered.com/app/348540
450,352010,Beach Bounce,12.99,"Adventure, Casual, Indie",http://store.steampowered.com/app/352010
450,390470,Divine Slice of Life - Soundtrack,3.99,"Adventure, Casual, Indie",http://store.steampowered.com/app/390470
450,394050,Beach Bounce - Soundtrack,2.99,"Adventure, Casual, Indie",http://store.steampowered.com/app/394050
450,398100,Highschool Romance,9.99,"Casual, Indie",http://store.steampowered.com/app/398100
450,408770,Highschool Possession,6.99,"Adventure, Indie",http://store.steampowered.com/app/408770
450,387110,Shmup Love Boom,2.99,"Action, Casual, Indie",http://store.steampowered.com/app/387110
450,387120,Shmup Love Boom - Soundtrack,1.99,"Action, Indie",http://store.steampowered.com/app/387120
450,396610,Quantum Flux,2.99,"Action, Indie",http://store.steampowered.com/app/396610
450,396620,Quantum Flux - Soundtrack,0.99,"Action, Indie",http://store.steampowered.com/app/396620
1473,528360,Naruto Shippuden Uncut: The Man Who Died Twice,1.99,,http://store.steampowered.com/app/528360
1473,528361,Naruto Shippuden Uncut: The Worst Three-Legged Race,1.99,,http://store.steampowered.com/app/528361
1473,528362,Naruto Shippuden Uncut: Team 10's Teamwork,1.99,,http://store.steampowered.com/app/528362
1473,528363,Naruto Shippuden Uncut: Drive Towards Darkness,1.99,,http://store.steampowered.com/app/528363
1473,528364,Naruto Shippuden Uncut: The Sixth Hokage Danzo,1.99,,http://store.steampowered.com/app/528364
1473,528365,Naruto Shippuden Uncut: The Eve of the Five Kage Summit,1.99,,http://store.steampowered.com/app/528365
1473,528366,Naruto Shippuden Uncut: Enter the Five Kage!,1.99,,http://store.steampowered.com/app/528366
1473,528367,Naruto Shippuden Uncut: Naruto's Plea,1.99,,http://store.steampowered.com/app/528367
1473,528368,Naruto Shippuden Uncut: A Painful Decision,1.99,,http://store.steampowered.com/app/528368
1473,528369,Naruto Shippuden Uncut: Racing Lightning,1.99,,http://store.steampowered.com/app/528369
1473,528370,Naruto Shippuden Uncut: Sasuke's Ninja Way,1.99,,http://store.steampowered.com/app/528370
1473,528371,Naruto Shippuden Uncut: Power of the Five Kage,1.99,,http://store.steampowered.com/app/528371
1473,528372,Naruto Shippuden Uncut: Declaration of War,1.99,,http://store.steampowered.com/app/528372
1474,528380,Naruto Shippuden Uncut: Sakura's Feelings,1.99,,http://store.steampowered.com/app/528380
1474,528381,Naruto Shippuden Uncut: The Tailed Beast vs The Tailless Tailed Beast,1.99,,http://store.steampowered.com/app/528381
1474,528382,Naruto Shippuden Uncut: As One's Friend,1.99,,http://store.steampowered.com/app/528382
1474,528383,Naruto Shippuden Uncut: Danzo's Right Arm,1.99,,http://store.steampowered.com/app/528383
1474,528384,Naruto Shippuden Uncut: The Forbidden Visual Jutsu,1.99,,http://store.steampowered.com/app/528384
1474,528385,Naruto Shippuden Uncut: Danzo Shimura,1.99,,http://store.steampowered.com/app/528385
1474,528386,Naruto Shippuden Uncut: Sakura's Resolve,1.99,,http://store.steampowered.com/app/528386
1474,528387,Naruto Shippuden Uncut: Lost Bonds,1.99,,http://store.steampowered.com/app/528387
1474,528388,Naruto Shippuden Uncut: The Burden,1.99,,http://store.steampowered.com/app/528388
1474,528389,Naruto Shippuden Uncut: Two Fates,1.99,,http://store.steampowered.com/app/528389
1474,528390,Naruto Shippuden Uncut: High-Level Shinobi,1.99,,http://store.steampowered.com/app/528390
1474,528391,Naruto Shippuden Uncut: Infiltrator,1.99,,http://store.steampowered.com/app/528391
1474,528392,Naruto Shippuden Uncut: The Five Great Nations Mobilize,1.99,,http://store.steampowered.com/app/528392
1437,476010,Pixel Puzzles Ultimate - Puzzle Pack: Dinosaurs,3.59,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/476010
1437,480590,Pixel Puzzles Ultimate - Puzzle Pack: Owls,1.79,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/480590
1437,480593,Pixel Puzzles Ultimate - Puzzle Pack: Korea,3.39,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/480593
1437,480594,Pixel Puzzles Ultimate - Puzzle Pack: Dogs,3.39,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/480594
1437,502841,Pixel Puzzles Ultimate - Puzzle Pack: Mountains,2.54,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/502841
1437,509520,Pixel Puzzles Ultimate - Puzzle Pack: Da Vinci,1.79,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/509520
1437,509521,Pixel Puzzles Ultimate - Puzzle Pack: Rio,2.69,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/509521
1437,509522,Pixel Puzzles Ultimate - Puzzle Pack: Savanna,1.79,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/509522
1437,509900,Pixel Puzzles Ultimate - Puzzle Pack: Thailand,3.39,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/509900
1437,467770,Pixel Puzzles Ultimate - Puzzle Pack: Ukiyo-e,0.99,"Casual, Free to Play, Indie, Simulation, Sports, Strategy",http://store.steampowered.com/app/467770
1466,527830,Naruto Shippuden Uncut: Planetary Devastation,1.99,,http://store.steampowered.com/app/527830
1466,527831,Naruto Shippuden Uncut: Fourth Hokage,1.99,,http://store.steampowered.com/app/527831
1466,527832,Naruto Shippuden Uncut: The Two Students,1.99,,http://store.steampowered.com/app/527832
1466,527833,"Naruto Shippuden Uncut: Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1",1.99,,http://store.steampowered.com/app/527833
1466,527834,"Naruto Shippuden Uncut: Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 2",1.99,,http://store.steampowered.com/app/527834
1466,527835,Naruto Shippuden Uncut: Meeting,1.99,,http://store.steampowered.com/app/527835
1466,527836,Naruto Shippuden Uncut: Origin of Pain,1.99,,http://store.steampowered.com/app/527836
1466,527837,Naruto Shippuden Uncut: The Tale of Naruto Uzumaki,1.99,,http://store.steampowered.com/app/527837
