bundle_id,n_bundle_items,items_in_panel,panel_coverage,users_own_all,users_own_any,avg_playtime_overlap,bundle_name,n_items,final_price,implied_discount_rate
1002,2,1,0.5,0,30,215.9,The Turing Test Collector's Edition,2,23.98,0.2001334222815209
1003,2,1,0.5,0,25,74.4,3DMark + PCMark 8,2,59.98,0.2500625156289073
1005,2,1,0.5,0,18,202.16666666666666,Moon Colonization Project: Deluxe Edition,2,3.13,0.2511961722488038
1007,2,2,1.0,5,83,151.6144578313253,Search & Kill + GabeN Simulator,2,6.29,0.1001430615164521
1008,3,2,0.6666666666666666,0,83,151.6144578313253,Search & Kill + GabeN Simulator + Portal Mode,3,7.1,0.1001267427122941
1009,5,5,1.0,180,8955,470.84410943606923,EA Racing Pack,5,58.45,0.3501945525291827
1011,12,2,0.16666666666666666,0,150,95.51333333333334,Publisher Diamond Edition Pack,12,1.55,0.8992197659297789
1013,2,1,0.5,0,45,65.57777777777778,Press X to Not Die: Special Edition,2,3.58,0.1005025125628141
1017,2,2,1.0,0,3,9.0,Render System Games Complete,2,11.98,0.2002670226969292
1021,7,7,1.0,7,966,162.3871635610766,Back To Basics Sci Fi Bundle,7,3.78,0.4545454545454545
1024,2,2,1.0,0,229,244.25327510917032,Ocean Word Blast Bundle,2,6.68,0.3306613226452906
1028,9,5,0.5555555555555556,0,321,163.09034267912773,The Pixeljam Collection,9,25.37,0.3307834344500132
1029,2,2,1.0,8,94,183.22340425531914,The Magnificent Fragments,2,5.34,0.3308270676691729
1033,2,1,0.5,0,7,462.7142857142857,Extravaganza Rising Bundle,2,7.63,0.1503340757238307
1034,3,3,1.0,3,283,115.90812720848056,Triangle Studios Bundle,3,25.57,0.2001876759461995
1040,3,3,1.0,7,46,217.15217391304347,Alber's - Studio Pack #2,3,4.47,0.2512562814070353
1041,2,1,0.5,0,5,90.8,DreamBreak- Soviet Bloc Edition,2,10.43,0.0500910746812386
1046,7,1,0.14285714285714285,0,174,327.9367816091954,Ashes of the Singularity Gold,7,50.93,0.2502576181363168
1047,6,2,0.3333333333333333,0,2246,1617.2284060552092,Sins of a Solar Empire Gold,6,63.69,0.2501765952437014
1052,2,2,1.0,1,2,6406.5,Ghost Sweeper + Dyna Bomb Studio Pack #1,2,7.98,0.2004008016032064
1053,6,6,1.0,0,22,465.90909090909093,OtakuMaker Studio Pack - Part #3,6,17.94,0.2506265664160401
1054,4,4,1.0,0,25,141.44,OtakuMaker Studio Pack - Shoot'Em Up #1,4,11.16,0.2005730659025788
1055,4,4,1.0,1,6,1075.6666666666667,OtakuMaker Studio Pack - Latest Bundle #1,4,17.56,0.2003642987249545
1056,4,4,1.0,0,17,548.5882352941177,OtakuMaker Studio Pack - Latest Bundle #2,4,12.76,0.2005012531328321
1068,2,1,0.5,0,2,0.0,The Girl and the Robot - Game + Soundtrack + Art Book,2,11.88,0.1502145922746781
1071,4,0,0.0,0,0,,Tom Clancy's The Division - Streets of New York Outfit Bundle,4,14.96,0.250501002004008
1084,2,1,0.5,0,5,263.0,Near Death Soundtrack Edition,2,19.99,0.1301131418624892
