bundle_id,bundle_name,bundle_url,price,final_price,discount,n_items,component_price_sum,abs_discount,implied_discount_rate,discount_mismatch
450,Dharker Studio 2015 Complete,http://store.steampowered.com/bundle/450/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,73.86,66.46,0.1,14,73.86,7.400000000000006,0.1001895477931222,False
1473,"Naruto Shippuden Uncut Season 4, Vol. 3",http://store.steampowered.com/bundle/1473/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1474,"Naruto Shippuden Uncut Season 4, Vol. 4",http://store.steampowered.com/bundle/1474/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1437,Pixel Puzzles Ultimate: Starter Kit,http://store.steampowered.com/bundle/1437/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.35,15.17,0.4,10,25.35,10.180000000000001,0.401577909270217,False
1466,"Naruto Shippuden Uncut Season 4, Vol. 1",http://store.steampowered.com/bundle/1466/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1478,Cosmi Fun Pack,http://store.steampowered.com/bundle/1478/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,71.91,25.2,0.65,9,71.91,46.709999999999994,0.6495619524405506,False
1482,Two Tribes Complete Pack!,http://store.steampowered.com/bundle/1482/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,32.96,29.66,0.1,4,32.96,3.3000000000000007,0.100121359223301,False
1396,"Expendables 1, 2, & 3",http://store.steampowered.com/bundle/1396/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,41.97,25.17,0.4,3,41.97,16.799999999999997,0.40028591851322365,False
1400,El Ninja - Deluxe Edition,http://store.steampowered.com/bundle/1400/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,1.98,1.48,0.25,2,1.98,0.5,0.25252525252525254,False
1471,18 Wheels of Steel Top Payload Pack 2,http://store.steampowered.com/bundle/1471/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,27.47,18.4,0.33,3,27.47,9.07,0.3301783764106298,False
1472,"Naruto Shippuden Uncut Season 4, Vol. 2",http://store.steampowered.com/bundle/1472/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1477,Halcyon 6: Starbase Commander + Soundtrack,http://store.steampowered.com/bundle/1477/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,26.98,24.28,0.1,2,26.979999999999997,2.6999999999999957,0.10007412898443277,False
1284,Black Sand Drift Collector's Edition,http://store.steampowered.com/bundle/1284/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,2.53,2.15,0.15,2,2.53,0.3799999999999999,0.150197628458498,False
1468,The Codemasters Complete Collection,http://store.steampowered.com/bundle/1468/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,654.44,575.84,0.12,56,654.44,78.60000000000002,0.12010268321007275,False
1225,Starters + Founders Package,http://store.steampowered.com/bundle/1225/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,79.98,75.18,0.06,2,79.97999999999999,4.799999999999983,0.06001500375093753,False
1455,ULTAKAAR CHRONICLES,http://store.steampowered.com/bundle/1455/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,9.07,4.51,0.5,5,9.07,4.5600000000000005,0.5027563395810364,False
1419,"Naruto Shippuden Uncut Season 3, Vol. 1",http://store.steampowered.com/bundle/1419/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,27.86,20.02,0.28,14,27.86,7.84,0.2814070351758794,False
1421,"Naruto Shippuden Uncut Season 3, Vol. 3",http://store.steampowered.com/bundle/1421/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1433,"Naruto Shippuden Uncut Season 3, Vol. 4",http://store.steampowered.com/bundle/1433/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,25.87,20.15,0.22,13,25.87,5.720000000000002,0.22110552763819105,False
1420,"Naruto Shippuden Uncut Season 3, Vol. 2",http://store.steampowered.com/bundle/1420/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,27.86,20.02,0.28,14,27.86,7.84,0.2814070351758794,False
1011,Publisher Diamond Edition Pack,http://store.steampowered.com/bundle/1011/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,15.38,1.55,0.9,12,15.38,13.83,0.8992197659297789,False
419,Dinosaur Hunt Gold Edition Pack,http://store.steampowered.com/bundle/419/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,10.39,0.84,0.92,11,10.39,9.55,0.9191530317613089,False
1460,The Meridian Bundle,http://store.steampowered.com/bundle/1460/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,30.96,21.66,0.3,4,30.96,9.3,0.30038759689922484,False
317,Endorlight - Deluxe Edition,http://store.steampowered.com/bundle/317/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,3.98,2.38,0.4,2,3.9800000000000004,1.6000000000000005,0.40201005025125636,False
1379,Revolution 60: Special Edition Bundle,http://store.steampowered.com/bundle/1379/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,14.98,12.73,0.15,2,14.98,2.25,0.15020026702269693,False
1385,Happy Neighbours Set,http://store.steampowered.com/bundle/1385/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,24.98,17.48,0.3,2,24.98,7.5,0.300240192153723,False
1137,New Retro Arcade: Neon and Original Soundtrack,http://store.steampowered.com/bundle/1137/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,29.98,26.98,0.1,2,29.979999999999997,2.9999999999999964,0.10006671114076039,False
279,Microblast Games Bundle,http://store.steampowered.com/bundle/279/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,6.94,3.44,0.5,6,6.9399999999999995,3.4999999999999996,0.5043227665706052,False
1440,OtakuMaker Studio Pack - Latest Bundle #3,http://store.steampowered.com/bundle/1440/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,14.96,11.96,0.2,4,14.96,3.0,0.20053475935828877,False
